path	binary
roland.ext.sd.dt.multi.timbre.part2.patAmplitudeDepth	41DE0048121000212b
roland.ext.sd.dt.multi.timbre.part2.ccNumber	41DE0048121000212c
roland.ext.sd.dt.multi.timbre.part2.ccPitch	41DE0048121000212d
roland.ext.sd.dt.multi.timbre.part2.ccBrightness	41DE0048121000212e
roland.ext.sd.dt.multi.timbre.part2.ccAmplitude	41DE0048121000212f
roland.ext.sd.dt.multi.timbre.part2.ccPitchDepth	41DE00481210002130
roland.ext.sd.dt.multi.timbre.part2.ccFilterDepth	41DE00481210002131
roland.ext.sd.dt.multi.timbre.part2.ccAmplitudeDepth	41DE00481210002132
roland.ext.sd.dt.multi.timbre.part2.scaleTune0	41DE00481210002133
roland.ext.sd.dt.multi.timbre.part2.scaleTune1	41DE00481210002134
roland.ext.sd.dt.multi.timbre.part2.scaleTune2	41DE00481210002135
roland.ext.sd.dt.multi.timbre.part2.scaleTune3	41DE00481210002136
roland.ext.sd.dt.multi.timbre.part2.scaleTune4	41DE00481210002137
roland.ext.sd.dt.multi.timbre.part2.scaleTune5	41DE00481210002138
roland.ext.sd.dt.multi.timbre.part2.scaleTune6	41DE00481210002139
roland.ext.sd.dt.multi.timbre.part2.scaleTune7	41DE0048121000213a
roland.ext.sd.dt.multi.timbre.part2.scaleTune8	41DE0048121000213b
roland.ext.sd.dt.multi.timbre.part2.scaleTune9	41DE0048121000213c
roland.ext.sd.dt.multi.timbre.part2.scaleTune10	41DE0048121000213d
roland.ext.sd.dt.multi.timbre.part2.scaleTune11	41DE0048121000213e
roland.ext.sd.dt.multi.timbre.part2.sdGm2Set	41DE0048121000213f
roland.ext.sd.dt.multi.timbre.part3	41DE004812100022
roland.ext.sd.dt.multi.timbre.part3.rxCh	41DE00481210002200
roland.ext.sd.dt.multi.timbre.part3.rxSwitch	41DE00481210002201
roland.ext.sd.dt.multi.timbre.part3.unknown02	41DE00481210002202
roland.ext.sd.dt.multi.timbre.part3.rxPort	41DE00481210002203
roland.ext.sd.dt.multi.timbre.part3.bankMsb	41DE00481210002204
roland.ext.sd.dt.multi.timbre.part3.bankLsb	41DE00481210002205
roland.ext.sd.dt.multi.timbre.part3.program	41DE00481210002206
roland.ext.sd.dt.multi.timbre.part3.volume	41DE00481210002207
roland.ext.sd.dt.multi.timbre.part3.panpot	41DE00481210002208
roland.ext.sd.dt.multi.timbre.part3.coarseTune	41DE00481210002209
roland.ext.sd.dt.multi.timbre.part3.fineTune	41DE0048121000220a
roland.ext.sd.dt.multi.timbre.part3.monoPoly	41DE0048121000220b
roland.ext.sd.dt.multi.timbre.part3.legato	41DE0048121000220c
roland.ext.sd.dt.multi.timbre.part3.pitchRange	41DE0048121000220d
roland.ext.sd.dt.multi.timbre.part3.portamentoSw	41DE0048121000220e
roland.ext.sd.dt.multi.timbre.part3.portamento	41DE0048121000220f
roland.ext.sd.dt.multi.timbre.part3.portamentoSecondByte	41DE00481210002210
roland.ext.sd.dt.multi.timbre.part3.brightness	41DE00481210002211
roland.ext.sd.dt.multi.timbre.part3.resonance	41DE00481210002212
